code_activity,name_activity,description,ar_name_activity,ar_description,subfield,field,definition
72232,Typographiste,,مصمم الخطوط,,101,7,"Création et mise en forme de textes imprimés, numériques ou manuscrits, en sélectionnant et agençant les caractères typographiques (lettres, chiffres, symboles) selon des règles techniques et esthétiques."
72231,Typographe,,خطاط,,101,7,"Typographe : Professionnel indépendant réalisant des travaux de composition, de mise en page et d'impression de documents écrits, notamment des livres, des brochures et des affiches."
72230,Scannériste,,نساخ في الطباعة,,101,7,"Numérisation et traitement de documents physiques (factures, contrats, etc.) en format numérique pour les auto-entrepreneurs algériens, permettant un stockage, une gestion et un partage efficaces des documents importants."
72229,Retoucheur-chromiste,,منمق-منقح بالكروم,,101,7,"Professionnel spécialisé dans la retouche et la correction de couleurs d'images photographiques ou numériques. Il ajuste la luminosité, le contraste, les couleurs et les détails pour améliorer la qualité visuelle et l'impact des images."
72228,Retoucheur hélio,,منمق روتوغرافي (هليو),,101,7,"Activité qui consiste à améliorer la qualité des images et photographies en ajustant la luminosité, le contraste, les couleurs et en supprimant les imperfections ou éléments indésirables."
72227,Responsable du service prépresse,,مسؤول مصلحة ما قبل الطباعة,,101,7,"Le Responsable du service prépresse est en charge de la préparation des fichiers d'impression en s'assurant de leur conformité aux normes de qualité et aux spécifications techniques des clients. Il contrôle les visuels, les couleurs et les mises en page avant l'impression finale."
72226,Responsable d'atelier de photogravure,,مسؤول ورشة الحفر الضوئي,,101,7,"Spécialiste chargé de la réalisation de plaques utilisées dans le processus d'impression, en utilisant des techniques de gravure photographique pour transférer des images et des textes sur des supports tels que le métal ou le plastique."
72225,Photograveur,,حافر ضوئي ,,101,7,"Création, traitement et reproduction d'images photographiques pour diverses applications, notamment l'impression, la publicité et la communication visuelle."
72224,Photocompositeur,,مصمم الصور,,101,7,"Activité de montage et de retouche d'images numériques pour créer des compositions originales ou améliorer des photos existantes, destinée à des supports variés tels que les supports imprimés, les sites web ou les réseaux sociaux."
72223,Opérateur scanner,,مشغل الماسح الضوئي,,101,7,"L'opérateur scanner est un auto-entrepreneur spécialisé dans l'utilisation de scanners pour numériser des documents, des images et des objets. Il assure la préparation des numérisations, le traitement des fichiers et la remise des résultats aux clients dans divers contextes, tels que les archivages, les copies numériques et les services de numérisation pour les entreprises et les particuliers."
72222,Opérateur en Publication Assistée par Ordinateur-PAO,,مشغل في النشر بمساعدة الكمبيوتر (PAO),,101,7,"Activité consistant à réaliser des mises en page, retouches d'images et création de documents graphiques à l'aide de logiciels de PAO (Publication Assistée par Ordinateur)."
72221,Operateur Computer To Plate-CTP,,مشغل الكمبيوتر إلى اللوحة (CTP),,101,7,"Activité consistant à transférer directement des fichiers informatiques (Computer To Plate) sur des plaques d'impression, sans passer par l'étape intermédiaire de la production de films."
72220,Monteur-copiste en industrie graphique,,مركب وناسخ في صناعة الجرافيك,,101,7,"Un monteur-copiste en industrie graphique en Algérie prépare des documents destinés à l'impression en assemblant des textes, des images et des éléments graphiques en respectant les consignes données."
72219,Monteur sur table,,مركب الطباعة على الطاولة,,101,7,"Le monteur sur table assemble des composants sur des cartes électroniques en utilisant des outils spécialisés pour souder, inspecter et tester les circuits imprimés. Il effectue des contrôles qualité pour s'assurer du bon fonctionnement et de la conformité aux spécifications."
72218,Monteur scanneur,,مركب الماسح في الطباعة,,101,7,"Installation et configuration de scanners pour la numérisation de documents, la création de copies numériques et la gestion des flux de travail de numérisation."
72217,Monteur en imposition,,مركب في الطباعة,,101,7,"Montage d'enseignes, de panneaux publicitaires et de systèmes d'affichage pour les entreprises, les organisations et les particuliers. Implique l'installation, la réparation et l'entretien de structures publicitaires extérieures et intérieures."
72216,Metteur en page texte/image,,مرتب الصفحات نص/صورة في الطباعة,,101,7,"Activité de préparation de textes et d'images pour la publication, en veillant à la cohérence esthétique et à la lisibilité."
72215,Metteur en page,,مرتب الصفحات في الطباعة,,101,7,"Activité de conception de la mise en page de documents imprimés ou numériques (brochures, magazines, sites web), en respectant les règles de typographie et de graphisme."
72214,Maquettiste d'exécution publicitaire,,مصمم النماذج التنفيذي في الإعلان,,101,7,"Responsable de la réalisation de maquettes graphiques destinées à des campagnes publicitaires, sous la direction d'un concepteur-rédacteur ou d'un directeur artistique."
72213,Maquettiste d'exécution en imprimerie,,مصمم النماذج التنفيذي في الطباعة,,101,7,"Responsable de l'élaboration des maquettes finales pour l'impression, garantissant leur conformité aux spécifications techniques et aux exigences du client."
72212,Maquettiste d'exécution édition,,مصمم النماذج التنفيذي في النشر,,101,7,"Professionnel qui réalise des maquettes sous forme de plans techniques détaillant les spécifications d'un produit imprimé, comme un livre, une affiche ou un emballage."
72211,Maquettiste d'exécution en Publication Assistée par Ordinateur-PAO,,مصمم النماذج التنفيذي في النشر بمساعدة الكمبيوتر (PAO),,101,7,"Le maquettiste d'exécution en PAO réalise les maquettes finales des documents imprimés ou numériques (brochures, plaquettes, affiches, etc.). Il assemble les textes, images et autres éléments graphiques en fonction des contraintes techniques et des exigences du client."
72210,Maquettiste,,مصمم النماذج,,101,7,"Activité de création visuelle et technique de maquettes pour des produits, des emballages ou des supports de communication. Le maquettiste réalise des prototypes physiques ou numériques pour présenter les caractéristiques esthétiques et fonctionnelles du produit final."
72209,Infographiste concepteur,,مصمم الانفوغراف المفهوم,,101,7,"L'infographie en conception est une activité d'auto-entrepreneur qui consiste à créer des visuels pour des supports numériques (sites web, réseaux sociaux, publicités) et imprimés (brochures, affiches, emballages). Il conceptualise et réalise des images, illustrations et mises en page pour transmettre des messages de manière créative et efficace."
72208,Infographe,,مصمم الانفوغراف,,101,7,"Création et conception d'images numériques, de graphiques et de contenu visuel pour transmettre des informations complexes de manière simple et attrayante."
72207,Graveur hélio,,طباعة روتوغرافية ,,101,7,"Artisan spécialisé dans la gravure sur métal à l'aide d'un procédé héliogravure, permettant de reproduire des motifs sur des surfaces métalliques grâce à un traitement photochimique."
72206,Flasheur,,مساعد المصمم الضوئي في الطباعة,,101,7,Activité consistant à installer et exploiter des dispositifs de contrôle automatisé de la vitesse pour le compte des collectivités locales ou des pouvoirs publics en Algérie.
72205,Développeur (film plaque et autre),,مطور طباعة (أفلام وصفائح وغيرها),,101,7,"Le développeur (film, plaque et autre) en Algérie est un artisan indépendant spécialisé dans le traitement et l'optimisation de l'image photographique. Il exploite un laboratoire photo pour développer et traiter des films, des plaques photosensibles et d'autres supports d'images."
72204,Copiste,,ناسخ في الطباعة,,101,7,"Activité consistant à reproduire des documents écrits, tels que des lettres, des contrats ou des manuscrits, à l'aide de divers supports et outils d'écriture."
72203,Compositeur en Publication Assistée par Ordinateur-PAO,,ملحن في النشر بمساعدة الكمبيوتر (PAO),,101,7,"Création et mise en forme de documents imprimés ou numériques (brochures, dépliants, magazines) à l'aide de logiciels de PAO, en respectant les consignes graphiques et typographiques."
72202,Claviste en Publication Assistée par Ordinateur-PAO,,محرر نصوص في النشر بمساعدة الكمبيوتر (PAO),,101,7,"Activité visant à mettre en forme des documents écrits, visuels ou multimédias à l'aide d'un logiciel de PAO. Inclut la création de mise en page, l'insertion de texte, d'images et d'autres éléments, ainsi que la finalisation pour l'impression ou la distribution numérique."
