code_pro,wilaya,field,activity,description
A1B2C3D4,Alger,Services IT,Développeur logiciel,يكتب الكود ويصلح les bugs parfois sans comprendre لي كاين.
E5F6G7H8,Oran,Santé,Infirmier,Fait les soins et donne les médicaments mais des fois c'est pas clair ليش.
I9J0K1L2,Constantine,Éducation,Professeur de mathématiques,حساب les nombres mais بعض الأحيان الناس ميحبوش يفهمو.
M3N4O5P6,Sétif,Construction,Ingénieur civil,يبني des trucs avec des chiffres et du béton mais واش exact?
Q7R8S9T0,Annaba,Finance,Comptable,يدير les comptes et les papiers avec des numéros mais parfois c'est compliqué.
U1V2W3X4,Blida,Marketing,Spécialiste du marketing digital,يبعث des pubs sur internet mais ميعرفش واش الناس يحبوا بالضبط.
Y5Z6A7B8,Batna,Agriculture,Gérant de ferme,يهتم بالزراعة mais كاين بزاف مشاكل avec le sol et l'eau.
C9D0E1F2,Biskra,Logistique,Responsable chaîne d'approvisionnement,يحرك les marchandises mais parfois ça bloque وما يعرفش السبب.
G3H4I5J6,Djelfa,Légal,Avocat,يهدر في المحكمة ويكتب des dossiers mais بعض الأحيان الحكم يجي عكس.
K7L8M9N0,Tlemcen,Sécurité,Agent de sécurité,يحرس les bâtiments mais parfois الناس ماتفهمش pourquoi.
O1P2Q3R4,Alger,Services IT,Analyste cybersécurité,يحمي les systèmes mais les attaques يجو من كل بلاصة.
S5T6U7V8,Oran,Santé,Dentiste,يعالج les dents mais الناس ديما خايفين ومايحبوش يجيو.
W9X0Y1Z2,Constantine,Éducation,Professeur de physique,يشرح les lois de l’univers mais بعض الأحيان la logique ميكونش واضحة.
A3B4C5D6,Sétif,Construction,Architecte,يرسم des bâtiments mais واش راح يخرج في الحقيقة c'est une autre histoire.
E7F8G9H0,Annaba,Finance,Analyste d’investissement,يحاول يفهم les marchés mais الأمور تتبدل فجأة.
I1J2K3L4,Blida,Marketing,Spécialiste SEO,يحسن les sites mais parfois جوجل يبدل القوانين وما تفهم والو.
M5N6O7P8,Batna,Agriculture,Agronome,يدير des études sur les plantes mais المشاكل مع الطقس ميخلصوش.
Q9R0S1T2,Biskra,Logistique,Gérant d’entrepôt,يخزن les produits mais بعد مدة ميعرفش وين راه الحاجة.
U3V4W5X6,Djelfa,Légal,Juge,يحكم في les affaires mais بعض الأحيان القوانين متفاهموش.
Y7Z8A9B0,Tlemcen,Sécurité,Détective privé,يبحث في les dossiers mais الناس ميعطيوهش les vraies infos parfois.

