file_name,transcription
data/baraa_5min_part0001.mp3,غدوا يوم فرح اختها النهار لي ستناتو بزاف غدوا
data/baraa_5min_part0002.mp3,تودع اخر فرد بقالها من العائلة بعد موت والديها بأكسيدون
data/baraa_5min_part0003.mp3,قبل ربعة سنين مشاعرها مخلطة مابين الفرحة لسعادة اختها وزواجها
data/baraa_5min_part0004.mp3,من الراجل لي حبها وحباتو وحزن لفراق اعز الناس ليها كان
data/baraa_5min_part0005.mp3,ت ليها الاخت والام والصديقة وكلشي مي دوام الحا
data/baraa_5min_part0006.mp3,ل من المحال ومبعد بدأت تفكر وتتخيل كون جات
data/baraa_5min_part0007.mp3,هيا العروسة في بلاصت ختها وتتزوج بمحمد حبيبها
data/baraa_5min_part0008.mp3,وبقات تتفكر فيه ضحكتو كلامو مشيتو وتضحك كي المهب
data/baraa_5min_part0009.mp3,ولة وفجأة يجيها ميساج يقطعلها الاحلام الوردية فتحت هاتفها
data/baraa_5min_part0010.mp3,وياليتها مافتحاتو ميليس عمري عمبالي حتكرهيني بزاف مي واش نديرو
data/baraa_5min_part0011.mp3,كل حكاية عندها نهاية وحكايتنا نهايتها اليوم ميش بيدي لازم
data/baraa_5min_part0012.mp3,علينا نتفارقو مكيش حتفهميني لوكان نشرحلك الظرف لي خلاني
data/baraa_5min_part0013.mp3,نقولك هاذ الكلام مي اليوم مستحيل نكملو  لازم نتفارقو حبي
data/baraa_5min_part0014.mp3,تك صح من قلبي محمد ضحكت بالصوت محمد امبوسيبل يديرها لال
data/baraa_5min_part0015.mp3,ا راني نحلم موحال غلقت عينيها وعاودت فتحتهم عشرة مرات
data/baraa_5min_part0016.mp3,مي والو هاذا الواقع ولازم تتقبلو  ولات تضحك بطريقة هيس
data/baraa_5min_part0017.mp3,تيرية ومبعد قلبتها بكاء يديها يرجفو سيات تعطيلو
data/baraa_5min_part0018.mp3,مي  لا لحياة لمن تنادي كامل لي تحبهم يروحو ويخلوها
data/baraa_5min_part0019.mp3,ولات تبكي وتقول يما يما بنتك معندهاش الزهر يما
data/baraa_5min_part0020.mp3,جرح فراقكم مزال مابردش زادلي جرح ثاني يما
data/baraa_5min_part0021.mp3,هذا هو لي حبيتو ووثقت فيه يما علاه خليتيني اديني
data/baraa_5min_part0022.mp3,معاك بقات جامدة ليل كامل ساعة تبكي وساعة تضحك على زهر
data/baraa_5min_part0023.mp3,ها جا الصباح  وهي ما شافتش النوم مسحت
data/baraa_5min_part0024.mp3,دمعتها لازم تخبي حزنها علاجال اختها مالازمش تبين ضعفها
data/baraa_5min_part0025.mp3,علأقل ليوم تمشي هايمة  جثة بلا روح  لازم تبين روحها
data/baraa_5min_part0026.mp3,فرحانة لازم الوووغ هاذي
data/baraa_5min_part0027.mp3,اول كخونيك ليا نتمنى نلقى الدعم بيسك راهي شوي طويلة حبكوم
data/baraa_5min_part0028.mp3,ميليس طفلة شابة سيفيليزي  قلبها بزاف بيض حنينة
data/baraa_5min_part0029.mp3,مي معندهاش الزهر  في عمرها ثمنطاش عام ربحت الباك وبعد مايكمال الصيف
data/baraa_5min_part0030.mp3,تروح تقرى فلجامعة مدرسة عليا ادب عربي محمد شباب
data/baraa_5min_part0031.mp3,مي خلاط زطايلي وسوكارجي في عمرو ربعة و عشرين سنة عندو سوبيرات يخدم في
data/baraa_5min_part0032.mp3,ها فوق قلبو تاع باباه
data/manel_part02_part11.mp3,معندناش نجيب سي موح طكسيور نديك لسبيطار ووهي لالا متعيطلوش لي خدمناهم نعطوهملو  ورمضان قرب خلي خلي راني موالفة يوم يومين نبرا
data/manel_part02_part12.mp3,تعمرو عينيا بالدمعة و شفت شعال والديا راهم يخمو علينا على حساب صحتهم  دخلو الشمبرتهم وانا رحت نشوف في بلاصة التقياء حشاكم
data/manel_part02_part13.mp3,واش بيها
data/manel_part03_part00.mp3,قلتلكم شفت يما تتقيأ هاكك وتبان مضرورة كي رحت لبلاصتها صبتها معمرة دم الدنيا دارت بيا
data/manel_part03_part01.mp3,خفت خفت من هذيك الضلمة وبديت نتخيل فالموت عندنا  رجعت نجري لفراشي و حکمت رکابیا بیدیا ودخلت راسي في كرشي
data/manel_part03_part02.mp3,وحكمتني الرعشة  فهذيك اللحظة مجانيش البكا جاني شعور وحدو شعور جامي حسيت بيه بت لي
