code_activity,name_activity,description,ar_name_activity,ar_description,category_code,category_name_fr,category_name_ar,subcategory_code,subcategory_name_fr,subcategory_name_ar,subfield,field
072232,Typographiste,,مصمم الخطوط,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072231,Typographe,,خطاط,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072230,Scannériste,,نساخ في الطباعة,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072229,Retoucheur-chromiste,,منمق-منقح بالكروم,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072228,Retoucheur hélio,,منمق روتوغرافي (هليو),,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072227,Responsable du service prépresse,,مسؤول مصلحة ما قبل الطباعة,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072226,Responsable d'atelier de photogravure,,مسؤول ورشة الحفر الضوئي,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072225,Photograveur,,حافر ضوئي ,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072224,Photocompositeur,,مصمم الصور,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
072223,Opérateur scanner,,مشغل الماسح الضوئي,,070000,"Services culturels, de communication et d'audiovisuel","الخدمات الثقافية,و الاتصال و السمعي البصري",072200,Prépresse,ما قبل الطباعة,101,7
